Names	total	elements
		COQ10A
		FAM160B1
		TANC2
		KIF4A
		PSKH2
		CPD
		CSMD3
		HLA-DOA
		DLGAP1
		IRF7
		SET
		UPK1B
		FAM193A
		FBXL20
		LOC153684
		HSPA2
		FAM120A
		WFIKKN1
		SHH
		ACAP3
		TACR2
		HIST1H3E
		NUP85
		GPR135
		PIGG
		POLR1A
		TMPRSS4
		NKX2-8
		TSHZ1
		AKAP2
		PRRT1
		PLEKHM3
		ZNF414
		LOC100130987
		XAF1
		LOC100128542
		PLA2G4C
		ABCG8
		JRK
		XPO4
		ARHGAP25
		OTUD7A
		TLX1
		LOC100271836
		SPAG6
		KALRN
		VAX1
		CCDC60
		SECTM1
		OSM
		GGTLC2
		NF1
		SQLE
		TAOK2
		SNAR-B1
		SEPHS1
		PPFIBP1
		FAM49A
		TRIM63
		C10orf53
		BCL7A
		SPG7
		AGER
		TCF19
		MAP4K3
		CBS
		SCRT2
		FAM41C
		FGF12
		MICA
		INPP5B
		TRIM56
		FIS1
		PCDHGA5
		ELF4
		FAM157A
		TLR5
		ELF1
		FAM71A
		C11orf49
